Kabupaten/Kota,Tahun,Kuartal,Laju_Inflasi(YOY),Proksi Inflasi
Kabupaten Madiun,2024,I,3.05,Kota Madiun
Kabupaten Madiun,2024,II,1.85,Kota Madiun
Kabupaten Madiun,2024,III,1.22,Kota Madiun
Kabupaten Madiun,2024,IV,1.31,Kota Madiun
Kabupaten Madiun,2025,I,0.2,Kota Madiun
Kabupaten Magetan,2022,I,2.38,Kota Madiun
Kabupaten Magetan,2022,II,4.76,Kota Madiun
Kabupaten Magetan,2022,III,6.14,Kota Madiun
Kabupaten Magetan,2022,IV,5.8,Kota Madiun
Kabupaten Magetan,2023,I,5.15,Kota Madiun
Kabupaten Magetan,2023,II,3.25,Kota Madiun
Kabupaten Magetan,2023,III,2.16,Kota Madiun
Kabupaten Magetan,2023,IV,2.35,Kota Madiun
Kabupaten Magetan,2024,I,3.05,Kota Madiun
Kabupaten Magetan,2024,II,1.85,Kota Madiun
Kabupaten Magetan,2024,III,1.22,Kota Madiun
Kabupaten Magetan,2024,IV,1.31,Kota Madiun
Kabupaten Magetan,2025,I,0.2,Kota Madiun
Kabupaten Ngawi,2022,I,2.38,Kota Madiun
Kabupaten Ngawi,2022,II,4.76,Kota Madiun
Kabupaten Ngawi,2022,III,6.14,Kota Madiun
Kabupaten Ngawi,2022,IV,5.8,Kota Madiun
Kabupaten Ngawi,2023,I,5.15,Kota Madiun
Kabupaten Ngawi,2023,II,3.25,Kota Madiun
Kabupaten Ngawi,2023,III,2.16,Kota Madiun
Kabupaten Ngawi,2023,IV,2.35,Kota Madiun
Kabupaten Ngawi,2024,I,3.05,Kota Madiun
Kabupaten Ngawi,2024,II,1.85,Kota Madiun
Kabupaten Ngawi,2024,III,1.22,Kota Madiun
Kabupaten Ngawi,2024,IV,1.31,Kota Madiun
Kabupaten Ngawi,2025,I,0.2,Kota Madiun
Kabupaten Bojonegoro,2022,I,3.16,Kota Surabaya
Kabupaten Bojonegoro,2022,II,4.89,Kota Surabaya
Kabupaten Bojonegoro,2022,III,6.91,Kota Surabaya
Kabupaten Bojonegoro,2022,IV,6.59,Kota Surabaya
Kabupaten Bojonegoro,2023,I,6.3,Kota Surabaya
Kabupaten Bojonegoro,2023,II,4.91,Kota Surabaya
Kabupaten Bojonegoro,2023,III,3.14,Kota Surabaya
Kabupaten Bojonegoro,2023,IV,3.03,Kota Surabaya
Kabupaten Bojonegoro,2024,I,2.99,Kota Surabaya
Kabupaten Bojonegoro,2024,II,2.35,Kota Surabaya
Kabupaten Bojonegoro,2024,III,1.65,Kota Surabaya
Kabupaten Bojonegoro,2024,IV,1.38,Kota Surabaya
Kabupaten Bojonegoro,2025,I,0.63,Kota Surabaya
Kabupaten Tuban,2022,I,3.16,Kota Surabaya
Kabupaten Tuban,2022,II,4.89,Kota Surabaya
Kabupaten Tuban,2022,III,6.91,Kota Surabaya
Kabupaten Tuban,2022,IV,6.59,Kota Surabaya
Kabupaten Tuban,2023,I,6.3,Kota Surabaya
Kabupaten Tuban,2023,II,4.91,Kota Surabaya
Kabupaten Tuban,2023,III,3.14,Kota Surabaya
Kabupaten Tuban,2023,IV,3.03,Kota Surabaya
Kabupaten Tuban,2024,I,2.99,Kota Surabaya
Kabupaten Tuban,2024,II,2.35,Kota Surabaya
Kabupaten Tuban,2024,III,1.65,Kota Surabaya
Kabupaten Tuban,2024,IV,1.38,Kota Surabaya
Kabupaten Tuban,2025,I,0.63,Kota Surabaya
Kabupaten Lamongan,2022,I,3.16,Kota Surabaya
Kabupaten Lamongan,2022,II,4.89,Kota Surabaya
Kabupaten Lamongan,2022,III,6.91,Kota Surabaya
Kabupaten Lamongan,2022,IV,6.59,Kota Surabaya
Kabupaten Lamongan,2023,I,6.3,Kota Surabaya
Kabupaten Lamongan,2023,II,4.91,Kota Surabaya
Kabupaten Lamongan,2023,III,3.14,Kota Surabaya
Kabupaten Lamongan,2023,IV,3.03,Kota Surabaya
Kabupaten Lamongan,2024,I,2.99,Kota Surabaya
Kabupaten Lamongan,2024,II,2.35,Kota Surabaya
Kabupaten Lamongan,2024,III,1.65,Kota Surabaya
Kabupaten Lamongan,2024,IV,1.38,Kota Surabaya
