Nama_Kabupaten_Kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun,Kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita
Kabupaten Lamongan,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,1.0,7914.39,Kota Surabaya,2.99,0.281,0.0
Kabupaten Lamongan,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,2.0,8514.54,Kota Surabaya,2.35,0.281,0.0
Kabupaten Lamongan,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,3.0,8193.0,Kota Surabaya,1.65,0.281,0.0
Kabupaten Lamongan,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,4.0,7564.02,Kota Surabaya,"1,38",0.281,0.0
Kabupaten Lumajang,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,1.0,5589.13,Kabupaten Jember,2.87,0.349,20.63870967741936
Kabupaten Lumajang,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,2.0,6075.55,Kabupaten Jember,5.53,0.349,0.0
Kabupaten Lumajang,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,3.0,6114.61,Kabupaten Jember,7.3,0.349,0.0
Kabupaten Lumajang,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,4.0,5847.29,Kabupaten Jember,7.39,0.349,0.0
Kabupaten Lumajang,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,1.0,5884.74,Kabupaten Jember,6.48,0.391,0.0
Kabupaten Lumajang,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,2.0,6420.41,Kabupaten Jember,4.31,0.391,0.0
Kabupaten Lumajang,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,3.0,6392.38,Kabupaten Jember,3.05,0.391,0.0
Kabupaten Lumajang,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,4.0,6110.82,Kabupaten Jember,2.29,0.391,0.0
Kabupaten Lumajang,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,1.0,6094.54,Kabupaten Jember,2.53,0.363,0.0
Kabupaten Lumajang,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,2.0,6671.31,Kabupaten Jember,1.99,0.363,0.0
Kabupaten Lumajang,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,3.0,6717.55,Kabupaten Jember,1.56,0.363,0.0
Kabupaten Lumajang,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,4.0,6446.52,Kabupaten Jember,"1,74",0.363,0.0
Kabupaten Madiun,405127,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,1.0,3323.97,Kota Madiun,2.38,0.354,624.4035714285715
Kabupaten Madiun,405127,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,2.0,3352.15,Kota Madiun,4.76,0.354,0.0
Kabupaten Madiun,405127,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,3.0,3871.27,Kota Madiun,6.14,0.354,0.0
Kabupaten Madiun,405127,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,4.0,3622.24,Kota Madiun,5.8,0.354,0.0
Kabupaten Madiun,437296,74.02,11.04,5.14,2243291.0,754.5,0.49,1.82,678.0,98.0,2023,1.0,3496.83,Kota Madiun,5.15,0.342,0.0
Kabupaten Madiun,437296,74.02,11.04,5.14,2243291.0,754.5,0.49,1.82,678.0,98.0,2023,2.0,3622.42,Kota Madiun,3.25,0.342,0.0
Kabupaten Madiun,437296,74.02,11.04,5.14,2243291.0,754.5,0.49,1.82,678.0,98.0,2023,3.0,3981.44,Kota Madiun,2.16,0.342,0.0
Kabupaten Madiun,437296,74.02,11.04,5.14,2243291.0,754.5,0.49,1.82,678.0,98.0,2023,4.0,3795.12,Kota Madiun,2.35,0.342,0.0
Kabupaten Madiun,460205,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,1.0,3654.95,Kota Madiun,3.05,0.309,0.0
Kabupaten Madiun,460205,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,2.0,3812.1,Kota Madiun,1.85,0.309,0.0
Kabupaten Madiun,460205,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,3.0,4185.51,Kota Madiun,1.22,0.309,0.0
Kabupaten Madiun,460205,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,4.0,3940.64,Kota Madiun,"1,31",0.309,0.0
Kabupaten Magetan,396696,75.76,9.84,4.33,1957329.43,677.9,0.62,1.65,972.0,96.8,2022,1.0,3415.37,Kota Madiun,2.38,0.352,1973.453488372093
Kabupaten Magetan,396696,75.76,9.84,4.33,1957329.43,677.9,0.62,1.65,972.0,96.8,2022,2.0,3419.49,Kota Madiun,4.76,0.352,0.0
Kabupaten Magetan,396696,75.76,9.84,4.33,1957329.43,677.9,0.62,1.65,972.0,96.8,2022,3.0,3627.47,Kota Madiun,6.14,0.352,0.0
Kabupaten Magetan,396696,75.76,9.84,4.33,1957329.43,677.9,0.62,1.65,972.0,96.8,2022,4.0,3476.81,Kota Madiun,5.8,0.352,0.0
Kabupaten Magetan,431203,76.3,9.8,4.16,2238808.0,681.7,0.59,1.64,965.0,96.8,2023,1.0,3509.15,Kota Madiun,5.15,0.373,0.0
