kabupaten_kota,tahun,kuartal,total investasi_rp_juta,total investasi_us_ribu,total_tki,investasi_per_kapita
Kabupaten Malang,2024,1,1184206.7,78946.8,2363,0.0
Kabupaten Malang,2024,2,820233.2,54681.4,2448,0.0
Kabupaten Malang,2024,3,790558.1,52704.2,1907,0.0
Kabupaten Malang,2024,4,975235.6,65014.49999999999,2718,0.0
Kabupaten Mojokerto,2022,2,1239073.3,86345.8,900,0.0
Kabupaten Mojokerto,2022,3,1432712.8,99841.4,338,0.0
Kabupaten Mojokerto,2022,4,789557.7999999999,55020.7,1830,0.0
Kabupaten Mojokerto,2023,1,866435.1,58543.1,2091,0.0
Kabupaten Mojokerto,2023,2,789021.7,53312.1,1669,0.0
Kabupaten Mojokerto,2023,3,1661692.8,112277.0,4477,0.0
Kabupaten Mojokerto,2023,4,661013.4,44662.700000000004,1823,0.0
Kabupaten Mojokerto,2024,1,794853.0,52990.2,3406,0.0
Kabupaten Mojokerto,2024,2,1085335.0999999999,72355.2,4163,0.0
Kabupaten Mojokerto,2024,3,1131700.7,75446.6,2525,0.0
Kabupaten Mojokerto,2024,4,965855.0,64390.6,5291,0.0
Kabupaten Nganjuk,2022,2,172636.1,12030.399999999998,948,0.0
Kabupaten Nganjuk,2022,3,25867.4,1802.6000000000001,759,0.0
Kabupaten Nganjuk,2022,4,4366.8,304.3,43,0.0
Kabupaten Nganjuk,2023,1,127073.1,8585.800000000001,548,0.0
Kabupaten Nganjuk,2023,2,115013.8,7771.3,678,0.0
Kabupaten Nganjuk,2023,3,243999.9,16486.7,530,0.0
Kabupaten Nganjuk,2023,4,138181.8,9336.4,995,0.0
Kabupaten Nganjuk,2024,1,365880.6,24392.100000000002,773,0.0
Kabupaten Nganjuk,2024,2,295792.1,19719.3,2975,0.0
Kabupaten Nganjuk,2024,3,168014.8,11200.9,6406,0.0
Kabupaten Nganjuk,2024,4,464710.4,30980.4,6838,0.0
Kabupaten Ngawi,2022,2,146979.3,10242.6,2034,0.0
Kabupaten Ngawi,2022,3,62624.0,4363.9,100,0.0
Kabupaten Ngawi,2022,4,128827.6,8977.3,611,0.0
Kabupaten Ngawi,2023,1,10516.8,710.5,2878,0.0
Kabupaten Ngawi,2023,2,460872.8,31140.2,1181,0.0
Kabupaten Ngawi,2023,3,67739.7,4577.1,773,0.0
Kabupaten Ngawi,2023,4,248050.4,16759.899999999998,418,0.0
Kabupaten Ngawi,2024,1,143816.2,9588.0,232,0.0
Kabupaten Ngawi,2024,2,159528.3,10635.5,572,0.0
Kabupaten Ngawi,2024,3,670461.6,44697.1,466,0.0
Kabupaten Ngawi,2024,4,724574.3,48304.8,1404,0.0
Kabupaten Pacitan,2022,2,19750.9,1376.3999999999999,491,0.0
Kabupaten Pacitan,2022,3,28593.3,1992.3,117,0.0
Kabupaten Pacitan,2022,4,29710.300000000003,2070.3,25,0.0
Kabupaten Pacitan,2023,1,9542.6,645.3,40,0.0
Kabupaten Pacitan,2023,2,14172.3,957.7,120,0.0
Kabupaten Pacitan,2023,3,23528.2,1590.0,239,0.0
Kabupaten Pacitan,2023,4,39960.3,2700.2,301,0.0
Kabupaten Pacitan,2024,1,8005.8,533.7,354,0.0
Kabupaten Pacitan,2024,2,12270.5,818.0,79,0.0
Kabupaten Pacitan,2024,3,45878.100000000006,3058.6,126,0.0
Kabupaten Pacitan,2024,4,79149.09999999999,5276.3,471,0.0
Kabupaten Pamekasan,2022,2,18771.100000000002,1308.2,4,0.0
Kabupaten Pamekasan,2022,3,68531.6,4775.8,27,0.0
Kabupaten Pamekasan,2022,4,7043.7,490.79999999999995,19,0.0
Kabupaten Pamekasan,2023,1,7215.1,487.50000000000006,17,0.0
Kabupaten Pamekasan,2023,2,28106.0,1899.0,73,0.0
Kabupaten Pamekasan,2023,3,9403.7,635.3,19,0.0
Kabupaten Pamekasan,2023,4,2827.0,191.1,3,0.0
Kabupaten Pamekasan,2024,1,1695.6000000000001,112.9,812,0.0
Kabupaten Pamekasan,2024,2,183345.6,12223.2,118,0.0
Kabupaten Pamekasan,2024,3,21558.4,1437.1,37,0.0
Kabupaten Pamekasan,2024,4,4197.1,279.7,47,0.0
Kabupaten Pasuruan,2022,2,2445432.0,170412.9,4695,0.0
Kabupaten Pasuruan,2022,3,1628278.6,113469.3,2708,0.0
Kabupaten Pasuruan,2022,4,3461656.5999999996,241231.1,3087,0.0
Kabupaten Pasuruan,2023,1,2529480.6,170911.1,3543,0.0
Kabupaten Pasuruan,2023,2,3714370.6,250970.7,4847,0.0
Kabupaten Pasuruan,2023,3,2347681.3,158627.3,3181,0.0
Kabupaten Pasuruan,2023,4,12157667.1,821464.4,6807,0.0
Kabupaten Pasuruan,2024,1,2871860.7,191456.9,4684,0.0
Kabupaten Pasuruan,2024,2,2796204.7,186413.8,4464,0.0
Kabupaten Pasuruan,2024,3,3544491.7,236299.7,3320,0.0
Kabupaten Pasuruan,2024,4,3683374.3000000003,245559.0,8910,0.0
Kabupaten Ponorogo,2022,2,20736.600000000002,1445.0,120,0.0
Kabupaten Ponorogo,2022,3,73134.7,5096.5,137,0.0
Kabupaten Ponorogo,2022,4,108411.1,7554.6,68,0.0
Kabupaten Ponorogo,2023,1,25171.100000000002,1700.6000000000001,303,0.0
Kabupaten Ponorogo,2023,2,60603.00000000001,4095.0,77,0.0
Kabupaten Ponorogo,2023,3,37702.5,2547.3,308,0.0
Kabupaten Ponorogo,2023,4,71788.0,4850.4,403,0.0
Kabupaten Ponorogo,2024,1,90396.2,6026.0,225,0.0
Kabupaten Ponorogo,2024,2,118408.3,7893.2,314,0.0
Kabupaten Ponorogo,2024,3,39039.5,2602.4,391,0.0
Kabupaten Ponorogo,2024,4,33742.6,2249.5,99,0.0
Kabupaten Probolinggo,2022,2,279885.4,19504.3,28,0.0
Kabupaten Probolinggo,2022,3,250371.1,17447.4,47,0.0
Kabupaten Probolinggo,2022,4,183914.3,12816.300000000001,89,0.0
Kabupaten Probolinggo,2023,1,549784.3,37148.1,207,0.0
Kabupaten Probolinggo,2023,2,609475.7000000001,41180.7,600,0.0
Kabupaten Probolinggo,2023,3,1015435.1,68610.59999999999,1533,0.0
Kabupaten Probolinggo,2023,4,2011376.2000000002,135903.5,2124,0.0
Kabupaten Probolinggo,2024,1,1393850.5,92923.29999999999,1181,0.0
Kabupaten Probolinggo,2024,2,1306985.7000000002,87132.2,1613,0.0
